# Recipe Format - Auto-generated from G-code
# X,Z,F,CMD
# CMD: 0=G0(Rapid), 1=G1(Linear), 10=ToolChange, 99=End
#
X,Z,F,CMD
# --- Guvenli Z ---
0.000,-150.000,0,0
# --- Guvenli X ---
300.000,-150.000,0,0
# --- Tool Change ---
165.954,185.609,300,1
165.584,186.796,300,1
165.227,187.982,300,1
164.884,189.167,300,1
164.554,190.349,300,1
164.239,191.527,300,1
163.940,192.702,300,1
163.656,193.870,300,1
163.390,195.033,300,1
163.141,196.188,300,1
162.910,197.335,300,1
162.698,198.473,300,1
162.505,199.601,300,1
162.333,200.717,300,1
162.181,201.822,300,1
162.052,202.913,300,1
161.944,203.991,300,1
161.859,205.053,300,1
161.798,206.100,300,1
161.762,207.130,300,1
161.750,208.142,300,1
161.764,209.136,300,1
161.805,210.109,300,1
161.872,211.062,300,1
161.967,211.994,300,1
162.091,212.903,300,1
162.244,213.788,300,1
162.427,214.649,300,1
162.640,215.485,300,1
162.885,216.294,300,1
163.161,217.076,300,1
163.470,217.830,300,1
163.812,218.555,300,1
164.188,219.249,300,1
164.599,219.912,300,1
165.045,220.543,300,1
165.527,221.141,300,1
166.046,221.705,300,1
166.602,222.234,300,1
167.196,222.728,300,1
167.829,223.184,300,1
168.499,223.605,300,1
169.205,223.990,300,1
169.946,224.342,300,1
170.719,224.660,300,1
171.525,224.945,300,1
172.360,225.198,300,1
173.225,225.421,300,1
174.118,225.613,300,1
175.036,225.777,300,1
175.979,225.912,300,1
176.946,226.019,300,1
177.934,226.100,300,1
178.944,226.155,300,1
179.972,226.185,300,1
181.018,226.192,300,1
182.080,226.175,300,1
183.158,226.135,300,1
184.249,226.074,300,1
185.352,225.992,300,1
186.466,225.891,300,1
187.589,225.771,300,1
188.720,225.632,300,1
189.858,225.476,300,1
191.001,225.304,300,1
192.147,225.116,300,1
193.296,224.914,300,1
194.446,224.698,300,1
195.596,224.468,300,1
196.744,224.227,300,1
197.888,223.974,300,1
199.028,223.711,300,1
